.x	directed_graph_diameter_weighted	directed_argum_diameter_weighted_0	directed_argum_diameter_weighted_09	directed_conclusions_diameter_weighted_0	directed_conclusions_diameter_weighted_09	directed_conclusions_diameter_unweighted_09	directed_graph_eigenvector_centralization	directed_argum_eigenvector_centralization_0	directed_argum_eigenvector_centralization_09	directed_conclusions_eigenvector_centralization_0	directed_conclusions_eigenvector_centralization_09	directed_graph_eigenvector_theoretical_max	directed_argum_eigenvector_theoretical_max_0	directed_argum_eigenvector_theoretical_max_09	directed_conclusions_eigenvector_theoretical_max_0	directed_conclusions_eigenvector_theoretical_max_09
Dopis ID_dluh.md--65ec336dc6537d54ff05dd0f	0.057600000000000096	0.057600000000000096	0.057600000000000096	0.008399999999999963	0.008399999999999963	1	0.0967741935483871	0.15789473684210525	0.15789473684210525	0.25	0.25	31	19	19	4	4
Rozhodnutí odboj_jinak_Novák.md--65ec336dc6537d54ff05dd0f	0.4041000000000001	0.4041000000000001	0.4041000000000001	0	0	0	0.25	0.6666666666666666	0.6666666666666666	0	0	8	3	3	1	1
Rozhodnutí odboj.md--65ec336dc6537d54ff05dd0f	0.6179000000000001	0.6179000000000001	0.0774999999999999	0.05929999999999991	0	0	0.4	0.8	0.6666666666666666	0.5	0	10	5	3	2	1
UOOUOsobniUdajePotom.md--65ec336dc6537d54ff05dd0f	0.19669999999999987	0.19669999999999987	0.19669999999999987	0	0	0	0.2	0.4	0.5	0	0	10	5	4	1	1
UOOUOsobniUdajePuvodne.md--65ec336dc6537d54ff05dd0f	0.07820000000000005	0.07820000000000005	0.07820000000000005	0.021400000000000086	0.021400000000000086	1	0.23529411764705882	0.3076923076923077	0.5714285714285714	1	1	17	13	7	1	1
09_Zastoupeni_CD_JSm.md--65ec336dc6537d54ff05dd0f	0.246	0.246	0.246	0.1068	0.1068	1	0.2	0.5	0.5	0.5	0.5	15	6	6	2	2
KVOP_19_Stavarska_zprava_JSm.md--65ec336dc6537d54ff05dd0f	0.17220000000000013	0.17220000000000013	0.17220000000000013	0.14529999999999998	0.14529999999999998	1	0.32	0.38095238095238093	0.38095238095238093	0.6666666666666666	0.6666666666666666	25	21	21	3	3
stavarska-1_kusv.md--65ec336dc6537d54ff05dd0f	0.0645	0.0645	0.0645	0.03869999999999996	0.03869999999999996	1	0.35135135135135137	0.41935483870967744	0.48148148148148145	0.3076923076923077	0.36363636363636365	37	31	27	13	11
stavarska-2_orig.md--65ec336dc6537d54ff05dd0f	0.06550000000000011	0.06550000000000011	0.062000000000000055	0.05580000000000007	0.03170000000000006	1	0.32432432432432434	0.4	0.375	0.5833333333333334	0.5555555555555556	37	30	24	12	9
Ockovani_JSm.md--65ec336dc6537d54ff05dd0f	0.2885	0.2885	0.2885	0	0	0	0.25	0.2857142857142857	0.2857142857142857	0	0	8	7	7	1	1
KVOP_zprava_invalidni_duchod_přepis.md--65ec336dc6537d54ff05dd0f	0.38680000000000003	0.38680000000000003	0.38680000000000003	0	0	0	0.14285714285714285	0.3333333333333333	0.3333333333333333	0	0	14	6	6	2	2
KVOP_zprava_invalidní_duchod_puv.md--65ec336dc6537d54ff05dd0f	0.059800000000000075	0.059800000000000075	0.059800000000000075	0	0	0	0.10714285714285714	0.14285714285714285	0.3333333333333333	0	0	28	21	9	4	2
MV_Odneti_trvaleho_pobytu_Kru_po.md--65ec336dc6537d54ff05dd0f	0.37359999999999993	0.37359999999999993	0.37359999999999993	0	0	0	0.2222222222222222	0.5	0.5	0	0	9	4	4	1	1
MV_Odneti_trvaleho_pobytu_Kru_orig.md--65ec336dc6537d54ff05dd0f	0.2835000000000001	0.2835000000000001	0.08549999999999991	0	0	0	0.16666666666666666	0.3333333333333333	0.25	0	0	12	6	4	2	1
zaloba-1_orig.md--65ec336dc6537d54ff05dd0f	0.28	0.28	0.28	0.16310000000000002	0.16310000000000002	1	0.3076923076923077	0.5	0.5	0.6666666666666666	0.6666666666666666	13	8	8	3	3
230711_Insolvence.md--65ec336dc6537d54ff05dd0f	0.19280000000000008	0.19280000000000008	0.19280000000000008	0.025700000000000056	0.025700000000000056	1	0.4074074074074074	0.5789473684210527	0.5789473684210527	0.5	0.5	27	19	19	6	6
důchod_jinak.md--65f07795c6537d54ff05dd61	0.16480000000000006	0.16480000000000006	0.16480000000000006	0.05020000000000002	0.05020000000000002	1	0.5142857142857142	0.6666666666666666	0.6666666666666666	0.7142857142857143	0.7142857142857143	35	27	27	14	14
vrátit podporu_jinak.md--65f07795c6537d54ff05dd61	0.21649999999999991	0.21649999999999991	0.21649999999999991	0.07519999999999993	0.07519999999999993	1	0.2857142857142857	0.5	0.5	0.4	0.4	21	12	12	5	5
vrátit podporu_původní.md--65f07795c6537d54ff05dd61	0.09539999999999993	0.09539999999999993	0.09539999999999993	0	0	0	0.0625	0.08695652173913043	0.1111111111111111	0	0	32	23	18	4	2
ockovani-1_kusv.md--65f07795c6537d54ff05dd61	0.4112	0.4112	0.4112	0.0968	0.0968	1	0.4166666666666667	0.5	0.5	1	1	12	10	10	2	2
ockovani-3_orig.md--65f07795c6537d54ff05dd61	0.39369999999999994	0.39369999999999994	0.39369999999999994	0.12969999999999993	0.12969999999999993	1	0.36363636363636365	0.4444444444444444	0.5	1	1	11	9	8	1	1
stavarska-1_kusv.md--65f07795c6537d54ff05dd61	0.08190000000000008	0.08190000000000008	0.08190000000000008	0.04580000000000006	0.04580000000000006	1	0.2857142857142857	0.43478260869565216	0.45454545454545453	0.125	0.125	35	23	22	8	8
stavarska-2_orig.md--65f07795c6537d54ff05dd61	0.0858000000000001	0.0858000000000001	0.0858000000000001	0.0596000000000001	0.0596000000000001	1	0.28205128205128205	0.4230769230769231	0.4166666666666667	0.5	0.5	39	26	24	8	8
zaloba-1_orig.md--65f07795c6537d54ff05dd61	0.17279999999999984	0.17279999999999984	0.17279999999999984	0.08509999999999995	0.08509999999999995	1	0.15384615384615385	0.26666666666666666	0.26666666666666666	0.2	0.2	26	15	15	5	5
invalidní důchod_1399-23_původní.md--65f07795c6537d54ff05dd61	0.19819999999999993	0.19819999999999993	0.19819999999999993	0	0	0	0.18518518518518517	0.23809523809523808	0.29411764705882354	0	0	27	21	17	6	4
invalidní důchod_1399-23_přepis.md--65f07795c6537d54ff05dd61	0.20389999999999997	0.20389999999999997	0.20389999999999997	0.05339999999999989	0.05339999999999989	1	0.25	0.36	0.36	0.42857142857142855	0.42857142857142855	36	25	25	7	7
důchod-dorovnávací přídavek_1298-23_původní.md--65f07795c6537d54ff05dd61	0.061900000000000066	0.061900000000000066	0.05650000000000022	0.035700000000000065	0.026499999999999968	1	0.31645569620253167	0.423728813559322	0.4791666666666667	0.6956521739130435	0.7	79	59	48	23	20
zaloba-2_kusv.md--65f07795c6537d54ff05dd61	0.1600999999999999	0.1600999999999999	0.1600999999999999	0.12030000000000007	0.12030000000000007	1	0.2	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	25	15	15	6	6
důchod-dorovnávací přídavek_1298-23_přepis.md--65f07795c6537d54ff05dd61	0.15870000000000006	0.15870000000000006	0.15870000000000006	0.0535000000000001	0.0535000000000001	1	0.6976744186046512	0.8333333333333334	0.8333333333333334	0.8571428571428571	0.8571428571428571	43	36	36	21	21
29 A 80-2021_20231122101241.md--6549578ac6537d54ff05c2d4	0.19540000000000002	0.19540000000000002	0.19540000000000002	0.02839999999999998	0.02839999999999998	1	0.09615384615384616	0.13157894736842105	0.12903225806451613	0.3333333333333333	0.2	52	38	31	6	5
MATTEL INC v.md--6549578ac6537d54ff05c2d4	0.13480000000000003	0.13480000000000003	0.13480000000000003	0.038000000000000034	0.038000000000000034	1	0.23076923076923078	0.27906976744186046	0.3076923076923077	0.4	0.4	52	43	39	5	5
Tucker vs Southwestern .md--6549578ac6537d54ff05c2d4	0.12030000000000007	0.12030000000000007	0.12030000000000007	0	0	0	0.4642857142857143	0.5416666666666666	0.5416666666666666	0	0	28	24	24	6	6
NSS_708487.txt--65ec336dc6537d54ff05dd0f	0.3127	0.3127	0.3127	0.12590000000000012	0.12590000000000012	1	0.3333333333333333	0.5454545454545454	0.5454545454545454	0.3333333333333333	0.3333333333333333	18	11	11	3	3
scott vs harris.md--6549578ac6537d54ff05c2d4	0.21029999999999993	0.21029999999999993	0.21029999999999993	0	0	0	0.32	0.5	0.5	0	0	25	16	16	2	2
NSS_708496.txt--65ec336dc6537d54ff05dd0f	0.1902999999999999	0.1902999999999999	0.1902999999999999	0	0	0	0.24242424242424243	0.32	0.32	0	0	33	25	25	9	9
NSS_708170.txt--65ec336dc6537d54ff05dd0f	0.32099999999999995	0.32099999999999995	0.32099999999999995	0	0	0	0.2	0.4444444444444444	0.4444444444444444	0	0	20	9	9	3	3
33 Cdo 30_2024.md--677e86e4c6537d54ff065092	0.25859999999999994	0.25859999999999994	0.25859999999999994	0.061900000000000066	0.061900000000000066	1	0.4418604651162791	0.5757575757575758	0.59375	0.3	0.3	43	33	32	10	10
22 cdo 2827_2018.md--677e86e4c6537d54ff065092	0.43020000000000014	0.43020000000000014	0.43020000000000014	0.05269999999999997	0.05269999999999997	1	0.4642857142857143	0.5652173913043478	0.5	0.1	0.1111111111111111	28	23	20	10	9
23 cdo 2938_2020.md--677e86e4c6537d54ff065092	0.5307	0.5307	0.1338999999999999	0.033400000000000096	0.033400000000000096	1	0.4634146341463415	0.6333333333333333	0.5862068965517241	0.2	0.2	41	30	29	10	10
Krajsky urad_rozhodnuti zmocneni.md--677e86e4c6537d54ff065092	0.3921000000000001	0.3921000000000001	0.3921000000000001	0.30180000000000007	0.30180000000000007	1	0.26666666666666666	0.4444444444444444	0.4444444444444444	1	1	15	9	9	2	2
Pravni rada_najemne.md--677e86e4c6537d54ff065092	0.2526999999999999	0.2526999999999999	0.2526999999999999	0	0	0	0.4375	0.5833333333333334	0.5833333333333334	0	0	16	12	12	2	2
8-A-149-2019-99-www-nssoud-cz.md--677e86e4c6537d54ff065092	0.41700000000000004	0.41700000000000004	0.41700000000000004	0.04039999999999999	0.04039999999999999	1	0.38461538461538464	0.5357142857142857	0.5357142857142857	0.2727272727272727	0.2727272727272727	39	28	28	11	11
