.x	graph_edge_density	argum_edge_density_0	argum_edge_density_09	conclusions_edge_density_0	conclusions_edge_density_09	graph_edge_count	argum_edge_count_0	argum_edge_count_09	conclusions_edge_count_0	conclusions_edge_count_09	graph_vertex_count	argum_vertex_count_0	argum_vertex_count_09	conclusions_vertex_count_0	conclusions_vertex_count_09	graph_transitivity_global	argum_transitivity_global_0	argum_transitivity_global_09	conclusions_transitivity_global_0	conclusions_transitivity_global_09	graph_diameter_weighted	argum_diameter_weighted_0	argum_diameter_weighted_09	conclusions_diameter_weighted_0	conclusions_diameter_weighted_09	conclusions_diameter_unweighted_09	graph_eigenvector_centralization	argum_eigenvector_centralization_0	argum_eigenvector_centralization_09	conclusions_eigenvector_centralization_0	conclusions_eigenvector_centralization_09	graph_eigenvector_theoretical_max	argum_eigenvector_theoretical_max_0	argum_eigenvector_theoretical_max_09	conclusions_eigenvector_theoretical_max_0	conclusions_eigenvector_theoretical_max_09
Dopis ID_dluh.md--65ec336dc6537d54ff05dd0f	0.012096774193548387	0.031578947368421054	0.031578947368421054	0.1	0.1	6	6	1	1	1	32	20	20	5	5	1	1	1	0	0	0.057600000000000096	0.057600000000000096	0.057600000000000096	0.008399999999999963	0.008399999999999963	1	0.9333333333333333	0.8888888888888888	0.8888888888888888	1	1.0000000000000002	30	18	18	3	3
Rozhodnutí odboj_jinak_Novák.md--65ec336dc6537d54ff05dd0f	0.08333333333333333	0.5	0.5	0	0	3	3	0	0	0	9	4	4	2	2	1	1	1	0	0	0.4041000000000001	0.4041000000000001	0.4041000000000001	0	0	0	0.8571428571428573	0.5000000000000002	0.5000000000000004	NA	NA	7	2	2	0	0
Rozhodnutí odboj.md--65ec336dc6537d54ff05dd0f	0.16363636363636364	0.6	0.3333333333333333	0.3333333333333333	0	9	9	0	1	0	11	6	4	3	2	0.875	0.875	0	0	0	0.6179000000000001	0.6179000000000001	0.14300000000000002	0.05929999999999991	0	0	0.7060276321039345	0.33856217223385254	0.7928932188134525	1.0000000000000002	NA	9	4	2	1	0
UOOUOsobniUdajePotom.md--65ec336dc6537d54ff05dd0f	0.09090909090909091	0.33333333333333337	0.5	0	0	5	5	0	0	0	11	6	5	2	2	0.75	0.75	0.75	0	0	0.3862000000000001	0.3862000000000001	0.3862000000000001	0	0	0	0.8264941319101299	0.6096117967977925	0.47948239573039003	NA	NA	9	4	3	0	0
UOOUOsobniUdajePuvodne.md--65ec336dc6537d54ff05dd0f	0.08496732026143791	0.14285714285714285	0.4642857142857143	1	1	13	13	1	1	1	18	14	8	2	2	0.8181818181818182	0.8181818181818182	0.8181818181818182	0	0	0.07820000000000005	0.07820000000000005	0.07820000000000005	0.021400000000000086	0.021400000000000086	1	0.7892324172956866	0.7189765563942488	0.43795311278849763	NA	NA	16	12	6	0	0
09_Zastoupeni_CD_JSm.md--65ec336dc6537d54ff05dd0f	0.05	0.2857142857142857	0.2857142857142857	0.3333333333333333	0.3333333333333333	6	6	1	1	1	16	7	7	3	3	1	1	1	0	0	0.246	0.246	0.246	0.1068	0.1068	1	0.8571428571428571	0.6	0.6000000000000002	1.0000000000000002	1.0000000000000004	14	5	5	1	1
KVOP_19_Stavarska_zprava_JSm.md--65ec336dc6537d54ff05dd0f	0.11076923076923077	0.15584415584415584	0.15584415584415584	0.5	0.5	36	36	3	3	3	26	22	22	4	4	0.6528497409326425	0.6528497409326425	0.6528497409326425	1	1	0.20740000000000003	0.20740000000000003	0.20740000000000003	0.14529999999999998	0.14529999999999998	1	0.7671376612853296	0.7205651935423955	0.720565193542395	0.5	0.5	24	20	20	2	2
stavarska-1_kusv.md--65ec336dc6537d54ff05dd0f	0.03982930298719772	0.056451612903225805	0.07407407407407407	0.054945054945054944	0.07575757575757576	28	28	5	5	5	38	32	28	14	12	0.88	0.88	0.88	1	1	0.0645	0.0645	0.0645	0.03869999999999996	0.03869999999999996	1	0.9110702128272433	0.893284255392692	0.8768664485300289	0.9166666666666669	0.9	36	30	26	12	10
stavarska-2_orig.md--65ec336dc6537d54ff05dd0f	0.04836415362731152	0.07311827956989246	0.07333333333333333	0.16666666666666666	0.2	34	34	9	13	9	38	31	25	13	10	0.9609375	0.9609375	0.9375	1	1	0.06550000000000011	0.06550000000000011	0.062000000000000055	0.05580000000000007	0.03170000000000006	1	0.8682872948118349	0.836494572869864	0.8390625165775468	0.5465264917806135	0.7499999999999997	36	29	23	11	8
Ockovani_JSm.md--65ec336dc6537d54ff05dd0f	0.19444444444444445	0.25	0.25	0	0	7	7	0	0	0	9	8	8	2	2	0.6	0.6	0.6	0	0	0.4203000000000001	0.4203000000000001	0.4203000000000001	0	0	0	0.7142857142857143	0.6666666666666666	0.6666666666666666	NA	NA	7	6	6	0	0
KVOP_zprava_invalidni_duchod_přepis.md--65ec336dc6537d54ff05dd0f	0.028571428571428574	0.14285714285714285	0.14285714285714285	0	0	3	3	0	0	0	15	7	7	3	3	1	1	1	0	0	0.38680000000000003	0.38680000000000003	0.38680000000000003	0	0	0	0.9230769230769231	0.8	0.8	0	0	13	5	5	1	1
KVOP_zprava_invalidní_duchod_puv.md--65ec336dc6537d54ff05dd0f	0.019704433497536946	0.03463203463203463	0.17777777777777778	0	0	8	8	0	0	0	29	22	10	5	3	0.6666666666666666	0.6666666666666666	0.6666666666666666	0	0	0.09400000000000008	0.09400000000000008	0.09400000000000008	0	0	0	0.9171826675000078	0.8881966011250105	0.7204915028125263	0	0	27	20	8	3	1
MV_Odneti_trvaleho_pobytu_Kru_po.md--65ec336dc6537d54ff05dd0f	0.06666666666666667	0.3	0.3	0	0	3	3	0	0	0	10	5	5	2	2	1	1	1	0	0	0.37359999999999993	0.37359999999999993	0.37359999999999993	0	0	0	0.875	0.666666666666667	0.6666666666666669	NA	NA	8	3	3	0	0
MV_Odneti_trvaleho_pobytu_Kru_orig.md--65ec336dc6537d54ff05dd0f	0.038461538461538464	0.14285714285714285	0.1	0	0	3	3	0	0	0	13	7	5	3	2	1	1	0	0	0	0.2835000000000001	0.2835000000000001	0.08549999999999991	0	0	0	0.9090909090909091	0.8	1	0	NA	11	5	3	1	0
zaloba-1_orig.md--65ec336dc6537d54ff05dd0f	0.15384615384615385	0.3888888888888889	0.3888888888888889	0.5	0.5	14	14	3	3	3	14	9	9	4	4	0.9230769230769231	0.9230769230769231	0.9230769230769231	1	1	0.28	0.28	0.28	0.16310000000000002	0.16310000000000002	1	0.6915364901069646	0.47120541161193924	0.4712054116119394	0.5	0.5000000000000002	12	7	7	2	2
230711_Insolvence.md--65ec336dc6537d54ff05dd0f	0.05555555555555555	0.1105263157894737	0.1105263157894737	0.14285714285714285	0.14285714285714285	21	21	3	3	3	28	20	20	7	7	1	1	1	0	0	0.19280000000000008	0.19280000000000008	0.19280000000000008	0.025700000000000056	0.025700000000000056	1	0.6769915127569187	0.593050168483795	0.8888888888888888	1	1	26	18	18	5	5
